<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.GOOG,60,20180611,230000,1132.5700000,1133.9500000,1129.7800000,1130.0500000,116282
US1.GOOG,60,20180612,170000,1130.8100000,1138.2500000,1130.8100000,1135.8500000,91120
US1.GOOG,60,20180612,180000,1135.0600000,1137.0800000,1132.6600000,1134.4700000,61319
US1.GOOG,60,20180612,190000,1134.4600000,1135.5000000,1132.2200000,1135.5000000,45567
US1.GOOG,60,20180612,200000,1135.5400000,1135.8200000,1133.8200000,1134.4500000,25114
US1.GOOG,60,20180612,210000,1134.2000000,1136.4500000,1134.1000000,1136.4500000,29054
US1.GOOG,60,20180612,220000,1136.5400000,1136.7700000,1131.2500000,1131.7400000,46812
US1.GOOG,60,20180612,230000,1131.1100000,1139.7900000,1130.7400000,1139.2800000,126818
US1.GOOG,60,20180613,170000,1141.1200000,1142.5000000,1137.0000000,1137.5400000,86652
US1.GOOG,60,20180613,180000,1137.6900000,1143.0500000,1137.3200000,1140.4500000,108346
US1.GOOG,60,20180613,190000,1140.5800000,1145.4100000,1140.5400000,1143.4000000,72837
US1.GOOG,60,20180613,200000,1142.9900000,1143.5100000,1138.4900000,1142.9400000,57947
US1.GOOG,60,20180613,210000,1143.0000000,1146.1000000,1141.3500000,1146.1000000,64584
US1.GOOG,60,20180613,220000,1145.9500000,1146.1800000,1138.3800000,1143.6600000,137136
US1.GOOG,60,20180613,230000,1143.8600000,1146.5000000,1133.3800000,1134.4400000,213805
US1.GOOG,60,20180614,170000,1143.9000000,1146.1300000,1140.6400000,1143.8000000,117166
US1.GOOG,60,20180614,180000,1143.7800000,1149.7200000,1143.5300000,1145.3500000,137010
US1.GOOG,60,20180614,190000,1144.7600000,1151.2100000,1143.1100000,1150.3000000,89993
US1.GOOG,60,20180614,200000,1150.5500000,1154.0000000,1150.4800000,1153.4000000,79783
US1.GOOG,60,20180614,210000,1153.3100000,1155.4700000,1152.3900000,1152.5400000,62365
US1.GOOG,60,20180614,220000,1152.2400000,1153.7900000,1147.1300000,1149.2800000,62264
US1.GOOG,60,20180614,230000,1149.5000000,1152.9700000,1148.7100000,1152.0000000,115285
US1.GOOG,60,20180615,170000,1147.5800000,1153.4200000,1143.4900000,1147.5600000,552911
